window_start,window_end,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,avg_packet_size,std_packet_size,min_packet_size,max_packet_size,total_bytes,unique_destinations,unique_destination_ports,unique_source_ports,protocol_count,flow_duration,packets_per_second,syn_count,syn_ratio,rst_count,rst_ratio,ssh_packet_count,ssh_ratio,avg_interarrival_time,std_interarrival_time,max_packets_per_second,source_file,attack_type
2026-06-22T23:49:00+00:00,2026-06-22T23:49:08.675863028+00:00,104.154.150.116,172.16.46.135,443,48000,TCP,5,73.0,16.61324772583615,60,100,365,1,1,1,1,0.048881,5.0,0,0.0,0,0.0,0,0.0,0.0122202635,0.020235758370525363,5,normal_01.pcap,normal
2026-06-22T23:49:00+00:00,2026-06-22T23:49:08.405395985+00:00,150.171.22.12,172.16.46.135,443,35124,TCP,1,60.0,0.0,60,60,60,1,1,1,1,0.0,1.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1,normal_01.pcap,normal
2026-06-22T23:49:00+00:00,2026-06-22T23:49:00.214348078+00:00,150.171.27.10,172.16.46.135,443,43936,TCP,1,60.0,0.0,60,60,60,1,1,1,1,0.0,1.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1,normal_01.pcap,normal
2026-06-22T23:49:00+00:00,2026-06-22T23:49:09.192109108+00:00,172.16.46.135,172.16.46.2,44512,443,UDP,57,247.9298245614035,440.5629516580501,54,1985,14132,11,3,37,2,8.978337,6.348614448310417,1,0.017543859649122806,1,0.017543859649122806,0,0.0,0.1603274473214286,0.4006492348904399,16,normal_01.pcap,normal
2026-06-22T23:49:00+00:00,2026-06-22T23:49:09.200366974+00:00,172.16.46.2,172.16.46.135,53,36640,UDP,24,127.95833333333333,48.02992050679335,69,236,3071,1,24,1,1,8.234575,2.914540216101013,0,0.0,0,0.0,0,0.0,0.3580250014347826,0.9238962003286657,7,normal_01.pcap,normal
2026-06-22T23:49:00+00:00,2026-06-22T23:49:00.214318037+00:00,23.222.17.229,172.16.46.135,443,47646,TCP,3,60.0,0.0,60,60,180,1,3,1,1,0.000144,3.0,0,0.0,0,0.0,0,0.0,7.2479e-05,3.4571e-05,3,normal_01.pcap,normal
2026-06-22T23:49:00+00:00,2026-06-22T23:49:07.109483004+00:00,34.111.211.209,172.16.46.135,443,44512,TCP,15,326.6,776.2123249042968,60,3174,4899,1,1,1,1,3.032959,4.945665272758386,1,0.06666666666666667,0,0.0,0,0.0,0.2166399955714286,0.7683184280245439,12,normal_01.pcap,normal
2026-06-22T23:49:00+00:00,2026-06-22T23:49:07.450609922+00:00,64.233.178.101,172.16.46.135,443,58590,TCP,2,76.5,16.5,60,93,153,1,1,1,1,0.011011,2.0,0,0.0,0,0.0,0,0.0,0.011011839,0.0,2,normal_01.pcap,normal
2026-06-22T23:49:10+00:00,2026-06-22T23:49:18.645376921+00:00,150.171.22.12,172.16.46.135,443,35124,TCP,1,60.0,0.0,60,60,60,1,1,1,1,0.0,1.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1,normal_01.pcap,normal
2026-06-22T23:49:10+00:00,2026-06-22T23:49:10.453866959+00:00,150.171.27.10,172.16.46.135,443,43936,TCP,1,60.0,0.0,60,60,60,1,1,1,1,0.0,1.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1,normal_01.pcap,normal
2026-06-22T23:49:10+00:00,2026-06-22T23:49:19.488132+00:00,172.16.46.135,172.16.46.2,36092,53,UDP,42,79.66666666666667,26.64999478840891,54,238,3346,5,2,40,2,9.034729,4.648728257372191,0,0.0,0,0.0,0,0.0,0.22035926726829264,0.513587158684716,8,normal_01.pcap,normal
2026-06-22T23:49:10+00:00,2026-06-22T23:49:19.496963024+00:00,172.16.46.2,172.16.46.135,53,34028,UDP,33,133.6060606060606,42.27252090750107,69,207,4409,1,33,1,1,8.246098,4.00189277401263,0,0.0,0,0.0,0,0.0,0.25769059359375,0.6721841879230602,7,normal_01.pcap,normal
2026-06-22T23:49:10+00:00,2026-06-22T23:49:10.453866005+00:00,23.222.17.229,172.16.46.135,443,47646,TCP,3,60.0,0.0,60,60,180,1,3,1,1,8.1e-05,3.0,0,0.0,0,0.0,0,0.0,4.0531e-05,4.0531e-05,3,normal_01.pcap,normal
2026-06-22T23:49:10+00:00,2026-06-22T23:49:14.416177988+00:00,34.111.211.209,172.16.46.135,443,44512,TCP,3,94.66666666666667,49.026070162267295,60,164,284,1,1,1,1,0.010932,3.0,0,0.0,0,0.0,0,0.0,0.005466461000000001,0.002427578,3,normal_01.pcap,normal
2026-06-22T23:49:20+00:00,2026-06-22T23:49:28.885062933+00:00,150.171.22.12,172.16.46.135,443,35124,TCP,1,60.0,0.0,60,60,60,1,1,1,1,0.0,1.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1,normal_01.pcap,normal
2026-06-22T23:49:20+00:00,2026-06-22T23:49:20.693115950+00:00,150.171.27.10,172.16.46.135,443,43936,TCP,1,60.0,0.0,60,60,60,1,1,1,1,0.0,1.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1,normal_01.pcap,normal
2026-06-22T23:49:20+00:00,2026-06-22T23:49:29.569143057+00:00,172.16.46.1,224.0.0.251,5353,5353,UDP,5,210.2,67.60591690081571,155,293,1051,1,1,1,1,1.754492,2.8498277564104026,0,0.0,0,0.0,0,0.0,0.4386232495,0.3242152208631974,3,normal_01.pcap,normal
2026-06-22T23:49:20+00:00,2026-06-22T23:49:29.758373022+00:00,172.16.46.135,172.16.46.2,36092,53,UDP,29,73.55172413793103,9.953638069593039,54,89,2133,4,2,28,2,9.065597,3.198906812204425,0,0.0,0,0.0,0,0.0,0.3237713234642857,0.661082656804654,7,normal_01.pcap,normal
2026-06-22T23:49:20+00:00,2026-06-22T23:49:29.765094995+00:00,172.16.46.2,172.16.46.135,53,33209,UDP,22,114.63636363636364,36.15942660263579,70,178,2522,1,22,1,1,8.227672,2.673903383605958,0,0.0,0,0.0,0,0.0,0.39179390952380944,0.7849025055766702,7,normal_01.pcap,normal
2026-06-22T23:49:20+00:00,2026-06-22T23:49:20.693115950+00:00,23.222.17.229,172.16.46.135,443,47646,TCP,3,60.0,0.0,60,60,180,1,3,1,1,0.0,3.0,0,0.0,0,0.0,0,0.0,4.77e-07,4.77e-07,3,normal_01.pcap,normal
2026-06-22T23:49:30+00:00,2026-06-22T23:49:37.980055094+00:00,104.18.41.41,172.16.46.135,443,55626,TCP,2,76.5,16.5,60,93,153,1,1,1,1,0.006928,2.0,0,0.0,0,0.0,0,0.0,0.006928206,0.0,2,normal_01.pcap,normal
